Άγγλος: Άγγλους,Άγγλοι,Άγγλου,Άγγλο,Άγγλων
Άραβας: Αράβων,Άραβα,Άραβες
Έλληνας: έλληνα,Ελληνίδα,έλληνες,ελληνίδων,ελλήνων,ελληνίδες,Έλληνα,Έλληνες,Ελλήνων,Ελληνίδων,ελληνίδα,έλληνας,Ελληνίδες
Αγγλίδα: Αγγλίδας,Αγγλίδες,Αγγλίδων
Αγνής: Αγνώς
Αλβανός: Αλβανοί,Αλβανούς,Αλβανού,Αλβανό,Αλβανών
Αμός: Αμώς
Βέλγος: Βέλγη,Βέλγους,Βέλγες,Βέλγου,Βέλγο,Βέλγοι,Βέλγων,Βέλγης,Βέλγα
Βοιός: Βοιώς
Βρετανός: Βρετανούς,Βρετανή,Βρετανών,Βρετανού,Βρετανά,Βρετανές,Βρετανής,Βρετανοί,Βρετανό
Γαλλίδα: Γαλλίδων,Γαλλίδας,Γαλλίδες
Γερμανός: Γερμανούς,Γερμανό,Γερμανών,Γερμανοί,Γερμανού
Εβραϊκά: Εβραϊκών
Εγγλέζος: Εγγλέζων,Εγγλέζου,Εγγλέζους,Εγγλέζοι,Εγγλέζο
Ελβετός: Ελβετοί,Ελβετού,Ελβετών,Ελβετούς,Ελβετίδων,Ελβετίδες,Ελβετό,Ελβετίδα,Ελβετίδας
Ελληνικός: Ελληνικές,Ελληνικό,Ελληνικού,Ελληνική,Ελληνικής,Ελληνικοί,Ελληνικούς,Ελληνικών
Ευαγγέλιο: Ευαγγελίου,Ευαγγελίων,Ευαγγέλια
Ευαγγελισμός: Ευαγγελισμό,Ευαγγελισμού
Ευρωπαίος: Ευρωπαίας,Ευρωπαία,Ευρωπαίους,Ευρωπαίοι,Ευρωπαίες,Ευρωπαίο,Ευρωπαίου,Ευρωπαίων
ΗΠΑ: Η.Π.Α.
Ηρώ: Ηρώς
Ιαπωνία: Ιαπωνίας
Ινδιάνος: Ινδιάνους,Ινδιάνα,Ινδιάνοι,Ινδιάνο,Ινδιάνου,Ινδιάνων
Ινώ: Ινώς
Ιουδαίος: Ιουδαίοι,Ιουδαίου,Ιουδαίων,Ιουδαίο,Ιουδαίους
Ιρλανδός: Ιρλανδοί,Ιρλανδό,Ιρλανδών,Ιρλανδού,Ιρλανδούς
Ισπανός: Ισπανού,Ισπανό,Ισπανών,Ισπανοί,Ισπανούς
Ισραηλίτης: Ισραηλιτήδων,Ισραηλιτήδες,Ισραηλίτη,Ισραηλιτούς
Ιταλός: Ιταλούς,Ιταλό,Ιταλού,Ιταλών,Ιταλοί
Κινέζος: Κινέζων,Κινέζοι,Κινέζου
Κριός: Κριό,Κριού
Κω: Κως
Κωνσταντινούπολη: Κωνσταντινούπολις
Νορβηγός: Νορβηγό,Νορβηγών,Νορβηγούς,Νορβηγές,Νορβηγή,Νορβηγής,Νορβηγοί,Νορβηγά,Νορβηγού
ΟΗΕ: ενώνω,έθνος,οργανισμός
Ολλανδός: Ολλανδοί,Ολλανδών,Ολλανδό,Ολλανδούς,Ολλανδού
Ουκρανός: Ουκρανοί,Ουκρανό,Ουκρανού,Ουκρανών,Ουκρανούς
Ούγγρος: Ούγγρο,Ούγγρους,Ούγγρου,Ουγγαρέζος,Ούγγρων,Ούγγροι
Περσικός: Περσικούς,Περσικά,Περσικού,Περσικοί,Περσικής,Περσική,Περσικές,Περσικών,Περσικό
Ρωμιοσύνη: Ρωμιοσύνης
Σκορπιός: Σκορπιού,Σκορπιό
Σουηδός: Σουηδής,Σουηδή,Σουηδά,Σουηδό,Σουηδούς,Σουηδοί,Σουηδού,Σουηδές,Σουηδών
Φινλανδός: Φινλανδοί,Φιλανδού,Φινλανδό,Φιλανδοί,Φινλανδούς,Φιλανδό,Φινλανδών,Φιλανδούς,Φινλανδού,Φιλανδών,Φιλανδός
Χριστός: Χριστό,Ιησούς,Χριστέ,Χριστού
άβγαλτος: άβγαλτες,άβγαλτων,άβγαλτο,άβγαλτα,άβγαλτου,άβγαλτης,άβγαλτη,άβγαλτοι,άβγαλτους
άβολος: άβολης,άβολοι,άβολες,άβολου,άβολη,άβολους,άβολα,άβολο,άβολων
άβραστος: άβραστες,άβραστα,άβραστων,άβραστης,άβραστου,άβραστη,άβραστοι,άβραστο,άβραστους
άγαλμα: αγαλμάτων,αγάλματος,αγάλματα
άγαμος: άγαμης,άγαμες,άγαμο,ανύμφευτος,άγαμα,άγαμη,άγαμων,άγαμοι,άγαμου,άγαμους
άγγελμα: αγγελμάτων,αγγέλματος,αγγέλματα
άγγελος: αγγέλων,αγγέλου,άγγελοι,άγγελο,αγγέλους
άγγιγμα: αγγίγματος,αγγίγματα,αγγιγμάτων
άγημα: αγημάτων,αγήματος,αγήματα
άγιος: άγιοι,αγία,άγια,άγιους,άγιων,άγιο,αϊ,αγίας,άγιου,άγιας,άγιες
άγκιστρο: άγκιστρα,αγκίστρων,αγκίστρου,αγκίστρι
άγκυρα: αγκύρων,άγκυρες,αγκύρας
άγνοια: άγνοιες,άγνοιας
άγνωστος: άγνωστο,άγνωστοι,αγνώστους,άγνωστα,άγνωστης,άγνωστες,άγνωστη,άγνωστου,άγνωστους,αγνώστων,αγνώστου,άγνωστων
άγονος: άγονα,άγονοι,άγονο,άγονου,άγονης,άγονες,άγονη
άγουρος: άγουροι,άγουρων,άγουρα,άγουρου,άγουρους,άγουρης,άγουρο,άγουρη,άγουρες
άγραφος: άγραφης,άγραφη,άγραφους,άγραφων,άγραφοι,άγραφο,άγραφες,άγραφου,άγραφα
άγριος: άγριες,άγριοι,άγριας,άγριου,άγριων,άγριο,άγρια,άγριους
άγρυπνος: άγρυπνης,άγρυπνα,άγρυπνου,άγρυπνη,άγρυπνων,άγρυπνο,άγρυπνους
άγχος: αγχών,άγχους,άγχη
άγω: άγομε,άγετε,άγοντος,άγει,άγουμε,άγεις,άγουσες,άγον,άγουν,άγουσα,άγεστε
άδεια: άδειας,άδειες,αδειών
άδειασμα: αδειάσματος,αδειάσματα,αδειασμάτων
άδεντρος: άδεντρου,άδεντρη,άδεντρης,άδεντροι,άδεντρα,άδεντρο,άδεντρους,άδεντρων,άδεντρες
άδετος: άδετα,άδετη,άδετης,άδετου,άδετων,άδετους,άδετο,άδετες,άδετοι
άδηλος: άδηλης,άδηλου,άδηλο,άδηλες,άδηλων,άδηλοι,άδηλη,άδηλα,άδηλους
άδικος: άδικο,άδικες,άδικη,άδικους,άδικης,άδικοι,άδικα,άδικου,άδικων
άδολος: άδολη,άδολης,άδολο,άδολου,άδολων,άδολα,άδολες,άδολοι,άδολους
άδοξος: άδοξα,άδοξης,άδοξη,άδοξο,άδοξοι,άδοξων,άδοξες,άδοξου,άδοξους
άδυτο: άδυτου,άδυτα,άδυτων
άεργος: άεργων,άεργα,άεργης,άεργοι,άεργου,άεργους,άεργο,άεργη,άεργες
άζωτο: αζώτου
άθεος: άθεων,άθεα,άθεη,άθεου,άθεο,άθεοι,άθεης,άθεες,άθεους
άθικτος: άθικτης,άθικτη,άθικτων,άθικτοι,άθικτες,άθικτα,άθικτου,άθικτους,άθικτο
άθλημα: αθλήματα,αθλημάτων,αθλήματος
άθλιος: άθλιων,άθλια,άθλιες,άθλιο,άθλιου,άθλιοι,άθλιας,άθλιους
άθλος: άθλους,άθλο,άθλου,άθλοι,άθλων
άθραυστος: άθραυστους,άθραυστοι,άθραυστα,άθραυστο,άθραυστων,άθραυστη,άθραυστες,άθραυστου,άθραυστης
άθρησκος: άθρησκη,άθρησκες,άθρησκους,άθρησκα,άθρησκων,άθρησκοι,άθρησκου,άθρησκης,άθρησκο
άθροισμα: αθροίσματος,αθροισμάτων,αθροίσματα
άθυμος: δύσθυμος,άθυμων,άθυμη,άθυμης,άθυμο,άθυμους,άθυμες,άκεφος,άθυμα,άθυμου,άθυμοι
άθυρμα: παίγνιο,αθύρματα,αθύρματος,αθυρμάτων
άκακος: άκακα,άκακου,άκακοι,άκακη,άκακους,άκακες,άκακης,άκακο,άκακων
άκαμπτος: άκαμπτα,άκαμπτο,άκαμπτους,άκαμπτη,άκαμπτες,άκαμπτων,άκαμπτης,άκαμπτου,άκαμπτοι
άκαρδος: άκαρδα,άκαρδης,άκαρδοι,άκαρδη,άκαρδο,άκαρδους,άκαρδες,άκαρδων,άκαρδου
άκαρπος: άκαρπου,άκαρπους,άκαρπων,άκαρπο,άκαρπη,άκαρπες,άκαρπα,άκαρποι,άκαρπης
άκεφος: άκεφου,άκεφης,άκεφους,άκεφο,άκεφα,άκεφων,άκεφη,άκεφες,άκεφοι
άκρη: άκρες,άκρων,άκρης
άκρο: άκρα,άκρων,άκρου,άκρον
άκρος: άκρων,άκρο,άκρα,άκρους,άκρης,άκρη,άκρες,άκρου,άκροι
άκυρος: άκυρων,άκυρης,άκυρη,άκυρου,άκυρες,άκυρα,άκυροι,άκυρο,άκυρους
άλγεβρα: άλγεβρας
άλεση: άλεσης,αλέσεων,αλέσεις,αλέσεως
άλεσμα: αλέσματα,αλεσμάτων,αλέσματος
άλευρο: άλευρα,αλεύρι,αλεύρων,αλεύρου
άλικος: άλικους,άλικο,άλικης,άλικη,άλικα,άλικων,άλικου,άλικες,άλικοι
άλλος: άλλον,άλλης,άλλο,άλλου,άλλη
άλμα: άλματος,άλματα,αλμάτων
άλμη: άρμη,άλμης,άλμες,αλμών
άλογο: αλόγων,αλόγου,άλογα
άλτης: άλτη,άλτες,αλτών
άλυτος: άλυτους,άλυτου,άλυτη,άλυτο,άλυτων,άλυτης,άλυτα,άλυτες,άλυτοι
άλωση: άλωσης,αλώσεων,αλώσεις
άμαξα: άμαξες,αμάξι,άμαξας,αμαξών
άμαχος: αμάχου,άμαχη,αμάχους,αμάχων,άμαχης,άμαχες,άμαχους,άμαχου,άμαχοι,άμαχων,άμαχο
άμεμπτος: άμεμπτων,άμεμπτης,άμεμπτο,άμεμπτοι,άμεμπτους,άμεμπτες,ανεπίληπτος,άμεμπτα,άμεμπτη,άμεμπτου
άμεσος: άμεσοι,άμεσo,άμεση,άμεσα,άμεσης,άμεσες,άμεσου,άμεσων,άμεσους
άμετρος: άμετρες,άμετρι,άμετρων,άμετρο,άμετρους,άμετρης,άμετρου,άμετρη,άμετρα
άμιλλα: άμιλλες,άμιλλας,αμιλλών
άμισθος: άμισθες,άμισθου,άμισθοι,άμισθης,άμισθα,άμισθη,άμισθων,άμισθο,άμισθους
άμοιρος: άμοιρους,άμοιρου,άμοιροι,άμοιρων,άμοιρη,άμοιρα,άμοιρες,άμοιρο,άμοιρης
άμορφος: άμορφες,άμορφων,άμορφης,άμορφους,άμορφου,άμορφοι,άμορφη,άμορφα,άμορφο
άμουσος: άμουσης,άμουσες,άμουσα,άμουσοι,άμουσους,άμουσων,άμουσου,άμουση,άμουσο
άμυαλος: άμυαλων,άμυαλης,άμυαλοι,άμυαλη,άμυαλα,άμυαλου,άμυαλους,άμυαλο,άμυαλες
άμυνα: άμυνας,Άμυνα
άμωμος: άμωμοι,άμωμης,άμωμο,άμωμα,άμωμη,άμωμες,άμωμους,άμωμων,άμωμου
άναμμα: ανάμματος,αναμμάτων,ανάμματα
άνανδρος: άνανδρη,άνανδρο,άνανδρης,άνανδρων,άνανδρα,άνανδρους,άνανδροι,άνανδρες,άνανδρου
άναστρος: άναστρα,άναστροι,άναστρους,άναστρης,άναστρου,άναστρη,άναστρο,άναστρες,άναστρων
άναυδος: άναυδες,άναυδη,άναυδων,άναυδους,άναυδου,άναυδα,άναυδο,άναυδης,άναυδοι
άνδρας: άνδρες,ανδρών,άντρας,άνδρα
άνεμος: ανέμου,άνεμοι,ανέμων,άνεμο,ανέμους
άνεργος: άνεργους,άνεργοι,άνεργες,άνεργα,άνεργο,άνεργων,άνεργης,άνεργου,άνεργη
άνεση: ανέσεις,άνεσης,ανέσεων
άνετος: άνετου,άνετη,άνετων,άνετο,άνετους,άνετης,άνετοι,άνετα,άνετες
άνευ: χωρίς
άνθισμα: άνθιση,ανθισμάτων,ανθίσματος,ανθίσματα
άνθρακας: άνθρακες,άνθρακα,ανθράκων
άνθρωπος: ανθρώπους,ανθρώπου,ανθρώπων,ανθρωπιών,άνθρωπο,άνθρωπου,άνθρωποι
άνισος: άνισους,άνισες,άνισης,άνισο,άνισοι,άνισων,άνιση,άνισου,άνισα
άνιφτος: άπλυτος,άνιφτους,άνιφτες,άνιφτη,άνιφτου,άνιφτα,άνιφτων,άνιφτοι,άνιφτο,άνιφτης
άνοδος: άνοδοι,ανόδους,ανόδου,άνοδο,ανόδων
άνοια: άνοιας,ανοησία
άνοιγμα: ανοίγματα,ανοίγματος,ανοιγμάτων
άνοιξη: ανοίξεων,έαρ,ανοίξεις,άνοιξης
άνομος: άνομο,ανόμων,ανόμου,ανόμους,άνομοι
άνοστος: άνοστη,άνοστο,άνοστα,άνοστου,άνοστων,άνοστους,άνοστης,άνοστοι,άνοστες
άντε: άντεστε,αντέστε,Άντε,Αντε
άντρο: άντρου,άντρα,άντρων
άνυδρος: άνυδροι,άνυδρου,άνυδρης,άνυδρο,άνυδρους,άνυδρων,άνυδρη,άνυδρες,άνυδρα
άνυσμα: ανύσματος,διάνυσμα,ανυσμάτων,ανύσματα
άνω: Άνω
άνωση: ανώσεως,άνωσης
άξεστος: άξεστων,άξεστους,άξεστο,άξεστη,άξεστες,άξεστου,άξεστης,άξεστα,άξεστοι
άξιος: άξιους,άξιων,άξιες,άξιο,άξιοι,άξιου,άξια,άξιας
άξονας: αξόνων,άξονα,άξονες
άοπλος: άοπλους,άοπλο,άοπλα,άοπλοι,άοπλων,άοπλη,άοπλου,άοπλης,άοπλες
άοσμος: άοσμο,άοσμων,άοσμου,άοσμες,άοσμοι,άοσμη,άοσμα,άοσμης,άοσμους
άπαχος: άπαχη,άπαχες,άπαχους,άπαχου,άπαχο,άπαχοι,άπαχα,άπαχης,άπαχων
άπειρο: άπειρου
άπειρος: άπειρες,άπειρου,άπειρα,άπειρων,άπειροι,άπειρης,άπειρη,άπειρο,άπειρους
άπιαστος: άπιαστοι,άπιαστους,άπιαστες,άπιαστα,άπιαστο,άπιαστη,άπιαστου,άπιαστης,άπιαστων
άπιστος: άπιστων,άπιστες,άπιστη,άπιστοι,άπιστου,άπιστο,άπιστους,άπιστης,άπιστα
άπληστος: άπληστα,άπληστοι,άπληστης,άπληστων,άπληστους,άπληστο,άπληστη,άπληστες,άπληστου
άπλυτος: άπλυτες,άπλυτους,άπλυτοι,άπλυτα,άπλυτων,άπλυτη,άπλυτου,άπλυτης,άπλυτο
άποικος: αποίκους,άποικη,αποίκων,άποικης,αποίκου,άποικοι,άποικο
άπονος: άπονη,άπονης,άπονο,άπονοι,άπονων,άπονους,άπονου,άπονα,άπονες
