a: à,a.
A: A°
aai: aaien
aaibaarheidsfactor: aaibaarheidsfactoren
aaien: aai,aait,aaiden,aaide,geaaid
aak: aken
aal: alen
aalbes: aalbessen
aalglad: aalgladde
aalmoes: aalmoezen
aalmoezenier: aalmoezeniers
aalscholver: aalscholvers
aaltje: aaltjes
aambeeld: aambeelden
aambeeldsbeentje: aambeeldsbeentjes
aambeeldsblok: aambeeldsblokken
aambei: aambeien
aamborstig: aamborstige
aamborstigheid: aamborstigheden
aanaarden: aangeaard,aanaardden,aanaardt,aanaardde,aanaard
aanbakken: aanbak,aanbakte,aanbakten,aanbakt,aangebakken
aanbedene: aanbedenen
aanbeeld: aanbeelden
aanbelanden: aangebelandd,aanbelandt,aanbelandden,aanbelandde,aanbeland
aanbellen: aanbelden,aanbelde,aangebeld,aanbel,aanbelt
aanbenen: aangebeend,aanbeen,aanbeenden,aanbeende,aanbeent
aanbesteden: aanbesteedden,aanbesteedt,aanbesteedde,aanbesteed
aanbesteding: aanbestedingen
aanbetalen: aanbetaald
aanbetaling: aanbetalingen
aanbevelen: aanbeval,aanbeveel,aanbevolen,aanbeveelt,aanbevalen
aanbevelenswaardig: aanbevelenswaardigere,aanbevelenswaardigst,aanbevelenswaardiger,aanbevelenswaardigste,aanbevelenswaardige
aanbeveling: aanbevelingen
aanbiddelijk: aanbiddelijker,aanbiddelijkst,aanbiddelijkere,aanbiddelijke,aanbiddelijkste
aanbidden: aanbeden
aanbidder: aanbidders
aanbidster: aanbidsters
aanbieden: aanbood,aanbiedt,aanbied,aangeboden,aanboden
aanbieder: aanbieders
aanbieding: aanbiedingen
aanbinden: aanbindt,aangebonden,aanbond,aanbind,aanbonden
aanbinder: aanbinders
aanblazen: aangeblazen,aanblies,aanbliezen,aanblaast,aanblaas
aanblazing: aanblazingen
aanblijven: aanblijft,aanbleef,aanblijf,aanbleven,aangebleven
aanblik: aanblikken
aanblikken: aangeblikt,aanblikt,aanblik,aanblikten,aanblikte
aanbod: aanboden
aanboren: aanboort,aangeboord,aanboorde,aanboor,aanboorden
aanboring: aanboringen
aanbouw: aanbouwen
aanbouwen: aanbouwden,aanbouw,aangebouwd,aanbouwde,aanbouwt
aanbouwkeuken: aanbouwkeukens
aanbouwsel: aanbouwsels
aanbraden: aanbraadden,aanbraad,aangebraden,aanbraadde,aanbraadt
aanbranden: aanbrand,aangebrand,aanbrandden,aanbrandde,aanbrandt
aanbreien: aangebreid,aanbreide,aanbreiden,aanbreit,aanbrei
aanbreken: aanbreekt,aanbreek,aangebroken,aanbrak,aanbraken
aanbrengen: aanbracht,aanbrachten,aanbrengt,aanbreng,aangebracht
aanbrenger: aanbrengers
aanbrenging: aanbrengingen
aanbrug: aanbruggen
aandachtig: aandachtige,aandachtiger,aandachtigere
aandachtspunt: aandachtspunten
aandachtsstreep: aandachtsstrepen
aandachtsveld: aandachtsvelden
aandeel: aandelen
aandeelhouder: aandeelhouders
aandelenoptie: aandelenopties
aandienen: aandient,aandienden,aandiende,aandien,aangediend
aandiening: aandieningen
aandikken: aandikte,aangedikt,aandikt,aandik,aandikten
aandoen: aangedaan,aandeed,aandeden,aandoe,aandoet
aandoening: aandoeningen
aandoenlijk: aandoenlijke,aandoenlijkere,aandoenlijker
aandoenlijkheid: aandoenlijkheden
aandraaien: aandraaide,aangedraaid,aandraai,aandraaiden,aandraait
aandraaier: aandraaiers
aandraaiing: aandraaiingen
aandragen: aandraagt,aandroegen,aandraag,aangedragen,aandroeg
aandrager: aandragers
aandrang: aandrangen
aandrift: aandriften
aandrijven: aandreven,aandrijft,aandreef,aangedreven,aandrijf
aandrijving: aandrijvingen
aandringen: aandrong,aandring,aandrongen,aandringt,aangedrongen
aandrukken: aandrukten,aandrukte,aandrukt,aangedrukt,aandruk
aanduiden: aangeduid,aanduidden,aanduid,aanduidde,aanduidt
aanduiding: aanduidingen
aandurven: aangedurfd,aandurfde,aandurfden,aandurf,aandurft
aanduwen: aanduwt,aanduwde,aanduwden,aangeduwd,aanduw
aandweilen: aandweil,aangedweild,aandweilde,aandweilden,aandweilt
aaneenflansen: aaneenflanst,aaneenflansten,aaneenflans,aaneengeflanst,aaneenflanste
aaneengeschakeld: aaneengeschakelde
aaneenschakelen: aaneenschakelde,aaneenschakelt,aaneenschakel,aaneengeschakeld,aaneenschakelden
aaneenschakeling: aaneenschakelingen
aaneenschrijven: aaneenschrijft,aaneengeschreven,aaneenschrijf,aaneenschreef,aaneenschreven
aaneensluiten: aaneengesloten,aaneensluit,aaneensloot
aaneensluiting: aaneensluitingen
aanflitsen: aanflits,aanflitste,aanflitst,aangeflitst,aanflitsten
aanfloepen: aanfloept,aanfloep,aanfloepte,aanfloepten,aangefloept
aanfluiting: aanfluitingen
aangaan: aangaat,aanga,aangegaan,aanaangaat
aangapen: aangaapt,aangaap,aangegaapt,aangaapten,aangaapte
aangeboren: aangeborene
aangebrand: aangebrander,aangebrande,aangebrandere
aangedaan: aangedane
aangekleed: aangeklede
aangelegd: aangelegde
aangelegenheid: aangelegenheden
aangenaam: aangenamer,aangenamere,aangenaamste,aangenaamst,aangename
aangetekend: aangetekende
aangeven: aangeef,aangeeft,aangaven,aangegeven,aangaf
aangever: aangevers
aangezicht: aangezichten
aangezichtspijn: aangezichtspijnen
aangifte: aangiftes
aangorden: aangordden,aangegord,aangordt,aangord,aangordde
aangrenzend: aangrenzende
aangrijnzen: aangegrijnsd,aangrijns,aangrijnsde,aangrijnst,aangrijnsden
aangrijpen: aangrijp,aangrijpt,aangrepen,aangreep,aangegrepen
aangrijpend: aangrijpender,aangrijpende,aangrijpendere
aangrijpingspunt: aangrijpingspunten
aangroeien: aangroeide,aangroei,aangroeiden,aangegroeid,aangroeit
aangroeiing: aangroeiingen
aanhaken: aanhaakt,aanhaak,aanhaakte,aanhaakten,aangehaakt
aanhalen: aanhaalden,aangehaald,aanhaal,aanhaalt,aanhaalde
aanhalerig: aanhalerige
aanhalig: aanhaligste,aanhalige,aanhaligere,aanhaliger,aanhaligst
aanhaling: aanhalingen
aanhalingsteken: aanhalingstekens
aanhangen: aanhing,aanhangt,aanhang,aanhingen,aangehangen
aanhanger: aanhangers
aanhangig: aanhangige,aanhangiger,aanhangigere
aanhangsel: aanhangsels
aanhangster: aanhangsters
aanhangwagen: aanhangwagens
aanhankelijk: aanhankelijkere,aanhankelijker,aanhankelijkste,aanhankelijkst,aanhankelijke
aanhankelijkheid: aanhankelijkheden
aanharken: aangeharkt,aanharkt,aanharkten,aanhark,aanharkte
aanhechten: aangehecht,aanhechtten,aanhechtte,aanhecht
aanhechting: aanhechtingen
aanheffen: aanheft,aanhef,aanhieven,aangeheven,aanhief
aanhikken: aangehikt,aanhik,aanhikt,aanhikte,aanhikten
aanhobbelen: aangehobbeld,aanhobbelt,aanhobbel,aanhobbelde,aanhobbelden
aanhoren: aanhoor,aanhoort,aangehoord,aanhoorde,aanhoorden
aanhorig: aanhorige
aanhouden: aanhield,aanhou,aanhoudt,aangehouden
aanhoudend: aanhoudende
aanhouder: aanhouders
aanhouding: aanhoudingen
aanhoudster: aanhoudsters
aanjagen: aanjaag,aangejaagd,aanjaagt,aanjoeg,aanjoegen
aanjager: aanjagers
aankaarten: aangekaart,aankaart,aankaartte,aankaartten
aankakken: aankakt,aankak,aangekakt,aankakte,aankakten
aankijken: aangekeken,aankijk,aankeek,aankeken,aankijkt
aanklaagster: aanklaagsters
aanklacht: aanklachten
aanklagen: aangeklaagd,aanklaagde,aanklaag,aanklaagden,aanklaagt
aanklager: aanklagers
aanklampen: aanklampt,aangeklampt,aanklampten,aanklampte,aanklamp
aankleden: aankleedde,aankleed,aankleedt,aangekleed,aankleedden
aankleding: aankledingen
aankleven: aangekleefd,aankleefde,aankleef,aankleeft,aankleefden
aankleving: aanklevingen
aankloppen: aanklopt,aanklop,aangeklopt,aanklopten,aanklopte
aankloten: aankloot,aanklootten,aanklootte,aangekloot
aanknippen: aanknippennen
aanknopen: aanknoopte,aanknoopt,aanknoopten,aangeknoopt,aanknoop
aanknoping: aanknopingen
aanknopingspunt: aanknopingspunten
aankoeken: aankoekten,aankoek,aankoekte,aangekoekt,aankoekt
aankomen: aangekomen,aankomt,aankwamen,aankom,aankwam
aankomend: aankomende
aankomst: aankomsten
aankomstlijn: aankomstlijnen
aankondigen: aankondig,aankondigt,aangekondigd,aankondigden,aankondigde
aankondiging: aankondigingen
aankoop: aankopen
aankoopsom: aankoopsommen
aankopen: aankoop,aankochten,aankocht,aankoopt,aangekocht
aankoppelen: aankoppelde,aangekoppeld,aankoppel,aankoppelt,aankoppelden
aankoppeling: aankoppelingen
aankrijgen: aankrijgt,aankregen,aangekregen,aankreeg,aankrijg
aankruisen: aankruisten,aankruiste,aankruist,aankruis,aangekruist
aankruising: aankruisingen
aankunnen: aankunt,aankon,aankonden,aangekund,aankan
aankweek: aankweken
aankweken: aankweek,aankweekt,aankweekte,aangekweekt,aankweekten
aanlanden: aangeland,aanlandde,aanlandden,aanland,aanlandt
aanlandig: aanlandige
aanleg: aanleggen
aanleggen: aangelegd,aanleg,aanlegt
aanlegplaats: aanlegplaatsen
aanlegsteiger: aanlegsteigers
aanleiding: aanleidingen
aanlengen: aanlengden,aanlengde,aanleng,aangelengd,aanlengt
aanlenging: aanlengingen
aanleren: aanleer,aanleerden,aanleert,aangeleerd,aanleerde
aanleunen: aanleunden,aangeleund,aanleun,aanleunde,aanleunt
aanleunwoning: aanleunwoningen
